id,location_short,location_long,time,SELd,SELe,SELn,SELden,SEL,SEL_dB,lasmax_dB,distance,altitude,label,windspeed,winddirection,callsign,type,tags,duration,hex_s,registration,icao_type,serial,operator
132545881,Aa,Aalsmeerderweg,2025-03-24 07:06:26,180933000,0,0,180933000,180933000,82.57516689626223,72.10000014429497,333.794,132.512,21,4.0,320.0,DLH4AF,Airbus A319 114,Aalsmeerbaan36R_L,43,3C6586,D-AILF,A319,636,Lufthansa
132545921,Aa,Aalsmeerderweg,2025-03-24 07:18:54,2314690,0,0,2314690,2314690,63.64493538989703,53.69999992280832,2494.3,219.258,21,4.0,324.0,UAL946,Boeing 767 322ER,Zwanenburgbaan36C_L,18,A89234,N651UA,B763,25389,United Airlines
132546011,Aa,Aalsmeerderweg,2025-03-24 07:39:09,191357000,0,0,191357000,191357000,82.81844444490545,72.49999960754401,331.649,127.832,21,4.0,325.0,KLM32D,Embraer ERJ190-100STD,Aalsmeerbaan36R_L,56,484F7F,PH-EZW,E190,19000533,KLM Cityhopper
132546071,Aa,Aalsmeerderweg,2025-03-24 07:50:12,107952000,0,0,107952000,107952000,80.33231079022237,70.30000008924549,336.4,134.063,21,4.0,321.0,BTI8FH,Airbus A220-300,Aalsmeerbaan36R_L,42,502D0E,YL-AAR,BCS3,55053,Air Baltic
132546081,Aa,Aalsmeerderweg,2025-03-24 07:51:27,197070000,0,0,197070000,197070000,82.9462139808951,72.00000015667216,330.128,126.121,21,4.0,321.0,TGZ651,Boeing 737NG 7CT/W,Aalsmeerbaan36R_L,42,51408C,4L-TGO,B737,35086,Georgian Airways
132546091,Aa,Aalsmeerderweg,2025-03-24 07:52:46,162235000,0,0,162235000,162235000,82.10143246772887,71.49999995505664,334.173,131.906,21,4.0,321.0,EJU45MU,Airbus A319-111,Aalsmeerbaan36R_L,58,440170,OE-LQN,A319,3735,EasyJet Europe
132546101,Aa,Aalsmeerderweg,2025-03-24 07:54:21,151279000,0,0,151279000,151279000,81.79777611532711,72.199999906898,342.525,130.84,21,4.0,321.0,SWR883P,Airbus A320 214,Aalsmeerbaan36R_L,42,4B1619,HB-IJP,A320,681,Swiss International Air Lines
132546131,Aa,Aalsmeerderweg,2025-03-24 07:59:01,198266000,0,0,198266000,198266000,82.97247684064479,73.79999980891819,331.445,127.361,21,4.0,321.0,KLM46D,Boeing 737-800,Aalsmeerbaan36R_L,44,485A33,PH-BCH,B738,62579,KLM Royal Dutch Airlines
132546141,Aa,Aalsmeerderweg,2025-03-24 08:02:08,98433500,0,0,98433500,98433500,79.93143086423449,70.99999974718538,335.521,126.8,21,4.0,323.0,BTI7HB,Bombardier C Series 300,Aalsmeerbaan36R_L,37,502CC7,YL-CSB,BCS3,55004,Air Baltic
132546191,Aa,Aalsmeerderweg,2025-03-24 08:12:06,103466000,0,0,103466000,103466000,80.14798969174089,69.79999993716025,331.78,132.503,21,4.0,317.0,KLM1798,Embraer ERJ 170-200 STD,Aalsmeerbaan36R_L,45,485873,PH-EXW,E75L,17000710,KLM Cityhopper
